央视频道,#genre#
北京影视,http://lay6.3322.org:4022/udp/239.3.1.158:8000#http://wangyeye.iok.la:4022/udp/239.3.1.158:8000#http://www.zsddns.tk:8000/udp/239.3.1.158:8000#http://vno08f3.cachenode.cn:4000/udp/239.3.1.158:8000#http://zb.688768.xyz/zubo/z.php?member=kikihdcn72&playurl=http://114.243.108.114:4022/udp/239.3.1.158:8000#http://zb.688768.xyz/zubo/z.php?member=kikihdcn72&playurl=http://111.193.229.227:9999/udp/239.3.1.158:8000#http://zb.688768.xyz/zubo/z.php?member=kikihdcn72&playurl=http://123.116.139.163:8888/udp/239.3.1.158:8000
北京文艺,http://lay6.3322.org:4022/udp/239.3.1.242:8000#http://wangyeye.iok.la:4022/udp/239.3.1.242:8000#http://www.zsddns.tk:8000/udp/239.3.1.242:8000#http://vno08f3.cachenode.cn:4000/udp/239.3.1.242:8000#http://zb.688768.xyz/zubo/z.php?member=kikihdcn72&playurl=http://114.243.108.114:4022/udp/239.3.1.242:8000#http://zb.688768.xyz/zubo/z.php?member=kikihdcn72&playurl=http://111.193.229.227:9999/udp/239.3.1.242:8000#http://zb.688768.xyz/zubo/z.php?member=kikihdcn72&playurl=http://123.116.139.163:8888/udp/239.3.1.242:8000
北京科教,http://lay6.3322.org:4022/udp/239.3.1.115:8000#http://wangyeye.iok.la:4022/udp/239.3.1.115:8000#http://www.zsddns.tk:8000/udp/239.3.1.115:8000#http://vno08f3.cachenode.cn:4000/udp/239.3.1.115:8000#http://zb.688768.xyz/zubo/z.php?member=kikihdcn72&playurl=http://114.243.108.114:4022/udp/239.3.1.115:8000#http://zb.688768.xyz/zubo/z.php?member=kikihdcn72&playurl=http://111.193.229.227:9999/udp/239.3.1.115:8000#http://zb.688768.xyz/zubo/z.php?member=kikihdcn72&playurl=http://123.116.139.163:8888/udp/239.3.1.115:8000
北京生活,http://lay6.3322.org:4022/udp/239.3.1.117:8000#http://wangyeye.iok.la:4022/udp/239.3.1.117:8000#http://www.zsddns.tk:8000/udp/239.3.1.117:8000#http://vno08f3.cachenode.cn:4000/udp/239.3.1.117:8000#http://zb.688768.xyz/zubo/z.php?member=kikihdcn72&playurl=http://114.243.108.114:4022/udp/239.3.1.117:8000#http://zb.688768.xyz/zubo/z.php?member=kikihdcn72&playurl=http://111.193.229.227:9999/udp/239.3.1.117:8000#http://zb.688768.xyz/zubo/z.php?member=kikihdcn72&playurl=http://123.116.139.163:8888/udp/239.3.1.117:8000
北京青年,http://lay6.3322.org:4022/udp/239.3.1.118:8000#http://wangyeye.iok.la:4022/udp/239.3.1.118:8000#http://www.zsddns.tk:8000/udp/239.3.1.118:8000#http://vno08f3.cachenode.cn:4000/udp/239.3.1.118:8000#http://zb.688768.xyz/zubo/z.php?member=kikihdcn72&playurl=http://114.243.108.114:4022/udp/239.3.1.118:8000#http://zb.688768.xyz/zubo/z.php?member=kikihdcn72&playurl=http://111.193.229.227:9999/udp/239.3.1.118:8000#http://zb.688768.xyz/zubo/z.php?member=kikihdcn72&playurl=http://123.116.139.163:8888/udp/239.3.1.118:8000
北京新闻,http://lay6.3322.org:4022/udp/239.3.1.159:8000#http://wangyeye.iok.la:4022/udp/239.3.1.159:8000#http://www.zsddns.tk:8000/udp/239.3.1.159:8000#http://vno08f3.cachenode.cn:4000/udp/239.3.1.159:8000#http://zb.688768.xyz/zubo/z.php?member=kikihdcn72&playurl=http://114.243.108.114:4022/udp/239.3.1.159:8000#http://zb.688768.xyz/zubo/z.php?member=kikihdcn72&playurl=http://111.193.229.227:9999/udp/239.3.1.159:8000#http://zb.688768.xyz/zubo/z.php?member=kikihdcn72&playurl=http://123.116.139.163:8888/udp/239.3.1.159:8000
天津卫视,rtsp://10.11.43.21/PLTV/88888912/224/3221226459/10000100000000060000000000873019_0.smil
天津文艺,http://anyun-ship.com:8888/udp/225.1.1.131:5002#http://zb.688768.xyz/zubo/z.php?member=kikihdcn72&playurl=http://111.162.206.23:8686/udp/225.1.1.131:5002#http://zb.688768.xyz/zubo/z.php?member=kikihdcn72&playurl=http://111.167.37.17:5002/udp/225.1.1.131:5002
天津影视,http://anyun-ship.com:8888/udp/225.1.1.149:5002#http://zb.688768.xyz/zubo/z.php?member=kikihdcn72&playurl=http://111.162.206.23:8686/udp/225.1.1.149:5002#http://zb.688768.xyz/zubo/z.php?member=kikihdcn72&playurl=http://111.167.37.17:5002/udp/225.1.1.149:5002
天津都市,http://anyun-ship.com:8888/udp/225.1.1.128:5002#http://zb.688768.xyz/zubo/z.php?member=kikihdcn72&playurl=http://111.162.206.23:8686/udp/225.1.1.128:5002#http://zb.688768.xyz/zubo/z.php?member=kikihdcn72&playurl=http://111.167.37.17:5002/udp/225.1.1.128:5002
湖南卫视,rtsp://10.11.43.21/PLTV/88888912/224/3221226449/10000100000000060000000000871723_0.smil
湖南电影,http://223.151.51.27:85/tsfile/live/1015_1.m3u8?key=txiptv&playlive=1&authid=0#http://zhoull.3322.org:8888/udp/239.76.253.106:9000#http://zb.688768.xyz/zubo/z.php?member=kikihdcn72&playurl=http://175.11.195.78:7000/udp/239.76.253.106:9000
湖南电视,http://223.151.51.27:85/tsfile/live/1011_1.m3u8?key=txiptv&playlive=1&authid=0#http://zhoull.3322.org:8888/udp/239.76.253.108:9000#http://zb.688768.xyz/zubo/z.php?member=kikihdcn72&playurl=http://175.11.195.78:7000/udp/239.76.253.108:9000
湖南都市,http://223.151.51.27:85/tsfile/live/1009_1.m3u8?key=txiptv&playlive=1&authid=0#http://zhoull.3322.org:8888/udp/239.76.253.104:9000#http://zb.688768.xyz/zubo/z.php?member=kikihdcn72&playurl=http://175.11.195.78:7000/udp/239.76.253.104:9000
湖南娱乐,http://223.151.51.27:85/tsfile/live/1005_1.m3u8?key=txiptv&playlive=1&authid=0#http://zhoull.3322.org:8888/udp/239.76.253.105:9000#http://zb.688768.xyz/zubo/z.php?member=kikihdcn72&playurl=http://175.11.195.78:7000/udp/239.76.253.105:9000
湖北卫视,rtsp://10.11.43.21/PLTV/88888912/224/3221226472/10000100000000060000000000871727_0.smil
湖北影视,http://zb.688768.xyz/zubo/z.php?member=kikihdcn72&playurl=http://113.56.94.140:8889/udp/228.0.0.205:6108#http://zb.688768.xyz/zubo/z.php?member=kikihdcn72&playurl=http://219.140.225.133:8880/udp/239.69.1.204:10866#http://pan.llf2.win:4000/udp/239.69.1.204:10866
湖北生活,http://zb.688768.xyz/zubo/z.php?member=kikihdcn72&playurl=http://113.56.94.140:8889/udp/228.0.0.204:6108#http://zb.688768.xyz/zubo/z.php?member=kikihdcn72&playurl=http://219.140.225.133:8880/udp/239.69.1.205:10872#http://pan.llf2.win:4000/udp/239.69.1.205:10872
湖北综合,http://zb.688768.xyz/zubo/z.php?member=kikihdcn72&playurl=http://113.56.94.140:8889/udp/228.0.0.126:6108#http://zb.688768.xyz/zubo/z.php?member=kikihdcn72&playurl=http://219.140.225.133:8880/udp/239.69.1.42:9892#http://pan.llf2.win:4000/udp/239.69.1.42:9892
湖北公共,http://zb.688768.xyz/zubo/z.php?member=kikihdcn72&playurl=http://113.56.94.140:8889/udp/228.0.0.124:6108#http://zb.688768.xyz/zubo/z.php?member=kikihdcn72&playurl=http://219.140.225.133:8880/udp/239.69.1.40:9880#http://pan.llf2.win:4000/udp/239.69.1.40:9880
湖北经视,http://zb.688768.xyz/zubo/z.php?member=kikihdcn72&playurl=http://113.56.94.140:8889/udp/228.0.0.125:6108#http://zb.688768.xyz/zubo/z.php?member=kikihdcn72&playurl=http://219.140.225.133:8880/udp/239.69.1.41:9886#http://pan.llf2.win:4000/udp/239.69.1.41:9886
湖北垄上,http://zb.688768.xyz/zubo/z.php?member=kikihdcn72&playurl=http://113.56.94.140:8889/udp/228.0.0.127:6108#http://zb.688768.xyz/zubo/z.php?member=kikihdcn72&playurl=http://219.140.225.133:8880/udp/239.69.1.43:9898#http://pan.llf2.win:4000/udp/239.69.1.43:9898
湖北教育,http://zb.688768.xyz/zubo/z.php?member=kikihdcn72&playurl=http://113.56.94.140:8889/udp/228.0.0.206:6108#http://zb.688768.xyz/zubo/z.php?member=kikihdcn72&playurl=http://219.140.225.133:8880/udp/239.69.1.206:10878#http://pan.llf2.win:4000/udp/239.69.1.206:10878
东方卫视,rtsp://10.11.43.21/PLTV/88888912/224/3221226484/10000100000000060000000000873018_0.smil
东方影视,http://namama.3322.org:4000/udp/239.45.3.237:5140#http://www.happyspace.party:4022/udp/239.45.3.237:5140#http://zb.688768.xyz/zubo/z.php?member=kikihdcn72&playurl=http://218.82.61.98:4022/udp/239.45.3.237:5140#http://zb.688768.xyz/zubo/z.php?member=kikihdcn72&playurl=http://58.32.42.198:8888/udp/239.45.3.237:5140
江苏卫视,rtsp://10.11.43.21/PLTV/88888912/224/3221226451/10000100000000060000000000871724_0.smil
江苏影视,http://www.yiyibest.com:7777/udp/239.49.9.38:6000#http://zb.688768.xyz/zubo/z.php?member=kikihdcn72&playurl=http://49.64.224.155:7777/udp/239.49.9.38:6000#http://mrzero.synology.me:4000/udp/239.49.9.38:6000#http://fengwei888888.asuscomm.com:3000/udp/239.49.9.38:6000
江苏城市,http://www.yiyibest.com:7777/udp/239.49.9.35:6000#http://zb.688768.xyz/zubo/z.php?member=kikihdcn72&playurl=http://49.64.224.155:7777/udp/239.49.9.35:6000#http://mrzero.synology.me:4000/udp/239.49.9.35:6000#http://fengwei888888.asuscomm.com:3000/udp/239.49.9.35:6000
江苏综艺,http://www.yiyibest.com:7777/udp/239.49.9.36:6000#http://zb.688768.xyz/zubo/z.php?member=kikihdcn72&playurl=http://49.64.224.155:7777/udp/239.49.9.36:6000#http://mrzero.synology.me:4000/udp/239.49.9.36:6000#http://fengwei888888.asuscomm.com:3000/udp/239.49.9.36:6000
江苏公共,http://www.yiyibest.com:7777/udp/239.49.9.40:6000#http://zb.688768.xyz/zubo/z.php?member=kikihdcn72&playurl=http://49.64.224.155:7777/udp/239.49.9.40:6000#http://mrzero.synology.me:4000/udp/239.49.9.40:6000#http://fengwei888888.asuscomm.com:3000/udp/239.49.9.40:6000
浙江卫视,rtsp://10.11.43.21/PLTV/88888912/224/3221226460/10000100000000060000000000871725_0.smil
浙江民生,http://www.372583307.top:4022/udp/233.50.201.136:5140#http://zb.688768.xyz/zubo/z.php?member=kikihdcn72&playurl=http://183.138.142.186:10000/udp/233.50.201.136:5140#http://zb.688768.xyz/zubo/z.php?member=kikihdcn72&playurl=http://122.246.90.234:4022/udp/233.50.201.136:5140
浙江生活,http://www.372583307.top:4022/udp/233.50.201.133:5140#http://zb.688768.xyz/zubo/z.php?member=kikihdcn72&playurl=http://183.138.142.186:10000/udp/233.50.201.133:5140#http://zb.688768.xyz/zubo/z.php?member=kikihdcn72&playurl=http://122.246.90.234:4022/udp/233.50.201.133:5140
浙江科教,http://www.372583307.top:4022/udp/233.50.201.134:5140#http://zb.688768.xyz/zubo/z.php?member=kikihdcn72&playurl=http://183.138.142.186:10000/udp/233.50.201.134:5140#http://zb.688768.xyz/zubo/z.php?member=kikihdcn72&playurl=http://122.246.90.234:4022/udp/233.50.201.134:5140
山东卫视,rtsp://10.11.43.21/PLTV/88888912/224/3221226455/10000100000000060000000000873014_0.smil
山东齐鲁,http://z2y7668013.qicp.vip:8888/udp/239.253.242.18:8000#http://www.xuweihome.vip:2222/udp/239.253.248.18:8000#http://zb.688768.xyz/zubo/z.php?member=kikihdcn72&playurl=http://112.233.167.39:4000/udp/239.253.238.114:8000
山东生活,http://z2y7668013.qicp.vip:8888/udp/239.253.242.20:8000#http://www.xuweihome.vip:2222/udp/239.253.248.20:8000#http://zb.688768.xyz/zubo/z.php?member=kikihdcn72&playurl=http://112.233.167.39:4000/udp/239.253.238.151:8000
山东综艺,http://z2y7668013.qicp.vip:8888/udp/239.253.242.21:8000#http://www.xuweihome.vip:2222/udp/239.253.248.21:8000#http://zb.688768.xyz/zubo/z.php?member=kikihdcn72&playurl=http://112.233.167.39:4000/udp/239.253.238.159:8000
山东文旅,http://z2y7668013.qicp.vip:8888/udp/239.253.242.19:8000#http://www.xuweihome.vip:2222/udp/239.253.248.19:8000#http://zb.688768.xyz/zubo/z.php?member=kikihdcn72&playurl=http://112.233.167.39:4000/udp/239.253.238.160:8000
安徽卫视,rtsp://10.11.43.21/PLTV/88888912/224/3221226480/10000100000000060000000000873020_0.smil
安徽影视,http://note.oksvc.com:8888/udp/238.1.79.42:4448#http://zb.688768.xyz/zubo/z.php?member=kikihdcn72&playurl=http://223.244.197.187:4022/udp/238.1.79.42:4448#http://zb.688768.xyz/zubo/z.php?member=kikihdcn72&playurl=http://223.243.19.12:10000/udp/238.1.79.42:4448
安徽科教,http://note.oksvc.com:8888/udp/238.1.79.40:4432#http://zb.688768.xyz/zubo/z.php?member=kikihdcn72&playurl=http://223.244.197.187:4022/udp/238.1.79.40:4432#http://zb.688768.xyz/zubo/z.php?member=kikihdcn72&playurl=http://223.243.19.12:10000/udp/238.1.79.40:4432
安徽生活,http://note.oksvc.com:8888/udp/238.1.79.44:4464#http://zb.688768.xyz/zubo/z.php?member=kikihdcn72&playurl=http://223.244.197.187:4022/udp/238.1.79.44:4464#http://zb.688768.xyz/zubo/z.php?member=kikihdcn72&playurl=http://223.243.19.12:10000/udp/238.1.79.44:4464
海豚影视,http://note.oksvc.com:8888/udp/238.1.79.34:4384#http://zb.688768.xyz/zubo/z.php?member=kikihdcn72&playurl=http://223.244.197.187:4022/udp/238.1.79.34:4384#http://zb.688768.xyz/zubo/z.php?member=kikihdcn72&playurl=http://223.243.19.12:10000/udp/238.1.79.34:4384
海豚生活,http://note.oksvc.com:8888/udp/238.1.79.50:4512#http://zb.688768.xyz/zubo/z.php?member=kikihdcn72&playurl=http://223.244.197.187:4022/udp/238.1.79.50:4512#http://zb.688768.xyz/zubo/z.php?member=kikihdcn72&playurl=http://223.243.19.12:10000/udp/238.1.79.50:4512
东南卫视,rtsp://10.11.43.21/PLTV/88888912/224/3221226457/10000100000000060000000000873026_0.smil
东南电视,http://yxc.yadiupi.com:7777/udp/239.61.4.5:1025#http://zb.688768.xyz/zubo/z.php?member=kikihdcn72&playurl=http://110.87.176.63:8888/udp/239.61.4.5:1025#http://zb.688768.xyz/zubo/z.php?member=kikihdcn72&playurl=http://58.23.197.173:4022/udp/239.61.4.5:1025
东南综合,http://yxc.yadiupi.com:7777/udp/239.61.5.167:1025#http://zb.688768.xyz/zubo/z.php?member=kikihdcn72&playurl=http://110.87.176.63:8888/udp/239.61.5.167:1025#http://zb.688768.xyz/zubo/z.php?member=kikihdcn72&playurl=http://58.23.197.173:4022/udp/239.61.5.167:1025
东南旅游,http://yxc.yadiupi.com:7777/udp/239.61.4.6:1025#http://zb.688768.xyz/zubo/z.php?member=kikihdcn72&playurl=http://110.87.176.63:8888/udp/239.61.4.6:1025#http://zb.688768.xyz/zubo/z.php?member=kikihdcn72&playurl=http://58.23.197.173:4022/udp/239.61.4.6:1025
东南公共,http://yxc.yadiupi.com:7777/udp/239.61.4.3:1025#http://zb.688768.xyz/zubo/z.php?member=kikihdcn72&playurl=http://110.87.176.63:8888/udp/239.61.4.3:1025#http://zb.688768.xyz/zubo/z.php?member=kikihdcn72&playurl=http://58.23.197.173:4022/udp/239.61.4.3:1025
江西卫视,rtsp://10.11.43.21/PLTV/88888912/224/3221226500/10000100000000060000000001119198_0.smil#http://zb.688768.xyz/zubo/z.php?member=kikihdcn72&playurl=http://183.191.1.183:8001/udp/226.0.1.219:2067
广东卫视,rtsp://10.11.43.21/PLTV/88888912/224/3221226458/10000100000000060000000000871726_0.smil
广东影视,http://2941.vicp.net:8888/udp/239.77.0.217:5146#http://zb.688768.xyz/zubo/z.php?member=kikihdcn72&playurl=http://113.111.47.81:4022/udp/239.77.0.217:5146#http://zb.688768.xyz/zubo/z.php?member=kikihdcn72&playurl=http://119.122.113.205:4000/udp/239.77.0.217:5146
辽宁卫视,rtsp://10.11.43.21/PLTV/88888912/224/3221226468/10000100000000060000000000871728_0.smil
辽宁影视,http://zb.688768.xyz/zubo/z.php?member=kikihdcn72&playurl=http://113.224.29.54:4022/udp/232.0.0.25:1234#http://zb.688768.xyz/zubo/z.php?member=kikihdcn72&playurl=http://119.117.236.98:55555/udp/232.0.0.25:1234
辽宁生活,http://zb.688768.xyz/zubo/z.php?member=kikihdcn72&playurl=http://113.224.29.54:4022/udp/232.0.0.150:1234#http://zb.688768.xyz/zubo/z.php?member=kikihdcn72&playurl=http://119.117.236.98:55555/udp/232.0.0.150:1234
辽宁北方,http://zb.688768.xyz/zubo/z.php?member=kikihdcn72&playurl=http://113.224.29.54:4022/udp/232.0.0.151:1234#http://zb.688768.xyz/zubo/z.php?member=kikihdcn72&playurl=http://119.117.236.98:55555/udp/232.0.0.151:1234
辽宁公共,http://zb.688768.xyz/zubo/z.php?member=kikihdcn72&playurl=http://113.224.29.54:4022/udp/232.0.0.168:1234#http://zb.688768.xyz/zubo/z.php?member=kikihdcn72&playurl=http://119.117.236.98:55555/udp/232.0.0.168:1234
辽宁教育,http://zb.688768.xyz/zubo/z.php?member=kikihdcn72&playurl=http://113.224.29.54:4022/udp/232.0.0.241:1234#http://zb.688768.xyz/zubo/z.php?member=kikihdcn72&playurl=http://119.117.236.98:55555/udp/232.0.0.241:1234
吉林卫视,rtsp://10.11.43.21/PLTV/88888912/224/3221226664/382482468.smil
吉林影视,http://zb.688768.xyz/zubo/z.php?member=kikihdcn72&playurl=http://175.30.114.122:8800/udp/239.37.1.3:5540
吉林都市,http://zb.688768.xyz/zubo/z.php?member=kikihdcn72&playurl=http://175.30.114.122:8800/udp/239.37.1.2:5540
吉林长影,http://zb.688768.xyz/zubo/z.php?member=kikihdcn72&playurl=http://175.30.114.122:8800/udp/239.37.0.125:5540
吉林生活,http://zb.688768.xyz/zubo/z.php?member=kikihdcn72&playurl=http://175.30.114.122:8800/udp/239.37.1.4:5540
吉林综艺,http://zb.688768.xyz/zubo/z.php?member=kikihdcn72&playurl=http://175.30.114.122:8800/udp/239.37.1.7:5540
吉林公共,http://zb.688768.xyz/zubo/z.php?member=kikihdcn72&playurl=http://175.30.114.122:8800/udp/239.37.1.6:5540
吉林乡村,http://zb.688768.xyz/zubo/z.php?member=kikihdcn72&playurl=http://175.30.114.122:8800/udp/239.37.1.5:5540
吉林戏曲,http://zb.688768.xyz/zubo/z.php?member=kikihdcn72&playurl=http://175.30.114.122:8800/udp/239.37.1.9:5540
贵州卫视,rtsp://10.11.43.21/PLTV/88888912/224/3221226466/10000100000000060000000000873021_0.smil
贵州公共,http://zb.688768.xyz/zubo/z.php?member=kikihdcn72&playurl=http://106.32.9.79:8888/udp/238.255.2.2:5999
贵州影视,http://zb.688768.xyz/zubo/z.php?member=kikihdcn72&playurl=http://106.32.9.79:8888/udp/238.255.2.3:5999
贵州生活,http://zb.688768.xyz/zubo/z.php?member=kikihdcn72&playurl=http://106.32.9.79:8888/udp/238.255.2.4:5999
贵州法制,http://zb.688768.xyz/zubo/z.php?member=kikihdcn72&playurl=http://106.32.9.79:8888/udp/238.255.2.5:5999
贵州科技,http://zb.688768.xyz/zubo/z.php?member=kikihdcn72&playurl=http://106.32.9.79:8888/udp/238.255.2.6:5999
贵州经济,http://zb.688768.xyz/zubo/z.php?member=kikihdcn72&playurl=http://106.32.9.79:8888/udp/238.255.2.9:5999
四川卫视,rtsp://10.11.43.21/PLTV/88888912/224/3221226453/10000100000000060000000000873023_0.smil
四川电影,http://iangping.cn:8888/udp/239.93.0.252:5140#http://vl15191373.imwork.net:8880/udp/239.93.0.252:5140#http://home.0825.pro:4000/udp/239.93.0.252:5140#http://zb.688768.xyz/zubo/z.php?member=kikihdcn72&playurl=http://61.157.62.22:8000/udp/239.93.0.252:5140
四川影视,http://iangping.cn:8888/udp/239.93.0.166:5140#http://vl15191373.imwork.net:8880/udp/239.93.0.166:5140#http://home.0825.pro:4000/udp/239.93.0.166:5140#http://zb.688768.xyz/zubo/z.php?member=kikihdcn72&playurl=http://61.157.62.22:8000/udp/239.93.0.166:5140
四川科教,http://iangping.cn:8888/udp/239.93.42.44:5140#http://vl15191373.imwork.net:8880/udp/239.93.42.44:5140#http://home.0825.pro:4000/udp/239.93.42.44:5140#http://zb.688768.xyz/zubo/z.php?member=kikihdcn72&playurl=http://61.157.62.22:8000/udp/239.93.42.44:5140
四川经济,http://iangping.cn:8888/udp/239.93.1.101:5140#http://vl15191373.imwork.net:8880/udp/239.93.1.101:5140#http://home.0825.pro:4000/udp/239.93.1.101:5140#http://zb.688768.xyz/zubo/z.php?member=kikihdcn72&playurl=http://61.157.62.22:8000/udp/239.93.1.101:5140
四川文化,http://iangping.cn:8888/udp/239.93.1.102:5140#http://vl15191373.imwork.net:8880/udp/239.93.1.102:5140#http://home.0825.pro:4000/udp/239.93.1.102:5140#http://zb.688768.xyz/zubo/z.php?member=kikihdcn72&playurl=http://61.157.62.22:8000/udp/239.93.1.102:5140
四川乡村,http://iangping.cn:8888/udp/239.93.0.52:5140#http://vl15191373.imwork.net:8880/udp/239.93.0.52:5140#http://home.0825.pro:4000/udp/239.93.0.52:5140#http://zb.688768.xyz/zubo/z.php?member=kikihdcn72&playurl=http://61.157.62.22:8000/udp/239.93.0.52:5140
深圳卫视,rtsp://10.11.43.21/PLTV/88888912/224/3221226476/10000100000000060000000000873016_0.smil
深圳电视,http://2941.vicp.net:8888/udp/239.77.1.125:5146#http://zb.688768.xyz/zubo/z.php?member=kikihdcn72&playurl=http://113.111.47.81:4022/udp/239.77.1.125:5146#http://zb.688768.xyz/zubo/z.php?member=kikihdcn72&playurl=http://119.122.113.205:4000/udp/239.77.1.125:5146
深圳都市,http://2941.vicp.net:8888/udp/239.77.1.124:5146#http://zb.688768.xyz/zubo/z.php?member=kikihdcn72&playurl=http://113.111.47.81:4022/udp/239.77.1.124:5146#http://zb.688768.xyz/zubo/z.php?member=kikihdcn72&playurl=http://119.122.113.205:4000/udp/239.77.1.124:5146
深圳公共,http://2941.vicp.net:8888/udp/239.77.1.126:5146#http://zb.688768.xyz/zubo/z.php?member=kikihdcn72&playurl=http://113.111.47.81:4022/udp/239.77.1.126:5146#http://zb.688768.xyz/zubo/z.php?member=kikihdcn72&playurl=http://119.122.113.205:4000/udp/239.77.1.126:5146
深圳娱乐,http://2941.vicp.net:8888/udp/239.77.1.243:5146#http://zb.688768.xyz/zubo/z.php?member=kikihdcn72&playurl=http://113.111.47.81:4022/udp/239.77.1.243:5146#http://zb.688768.xyz/zubo/z.php?member=kikihdcn72&playurl=http://119.122.113.205:4000/udp/239.77.1.243:5146
深圳财经,http://2941.vicp.net:8888/udp/239.77.1.242:5146#http://zb.688768.xyz/zubo/z.php?member=kikihdcn72&playurl=http://113.111.47.81:4022/udp/239.77.1.242:5146#http://zb.688768.xyz/zubo/z.php?member=kikihdcn72&playurl=http://119.122.113.205:4000/udp/239.77.1.242:5146
重庆卫视,rtsp://10.11.43.21/PLTV/88888912/224/3221226504/10000100000000060000000001119236_0.smil#rtsp://221.203.83.35:554/PLTV/88888888/224/3221226644/10000100000000060000000000623270_0.smil#http://tlivectfree-cdn.ysp.cctv.cn/ysp/2000297803.m3u8#http://zb.688768.xyz/zubo/z.php?member=kikihdcn72&playurl=http://183.191.1.183:8001/udp/226.0.1.178:3102
重庆影视,http://huth.3322.org:4000/udp/235.254.198.180:7980#http://zb.688768.xyz/zubo/z.php?member=kikihdcn72&playurl=http://123.145.79.16:4000/udp/225.0.4.192:7980#http://zb.688768.xyz/zubo/z.php?member=kikihdcn72&playurl=http://125.87.88.169:8880/udp/235.254.198.180:7980
重庆时尚,http://huth.3322.org:4000/udp/235.254.198.182:7980#http://zb.688768.xyz/zubo/z.php?member=kikihdcn72&playurl=http://123.145.79.16:4000/udp/225.0.4.196:7980#http://zb.688768.xyz/zubo/z.php?member=kikihdcn72&playurl=http://125.87.88.169:8880/udp/235.254.198.182:7980
重庆娱乐,http://huth.3322.org:4000/udp/235.254.198.187:7980#http://zb.688768.xyz/zubo/z.php?member=kikihdcn72&playurl=http://123.145.79.16:4000/udp/225.0.4.194:7980#http://zb.688768.xyz/zubo/z.php?member=kikihdcn72&playurl=http://125.87.88.169:8880/udp/235.254.198.187:7980
重庆科教,http://huth.3322.org:4000/udp/235.254.198.188:7980#http://zb.688768.xyz/zubo/z.php?member=kikihdcn72&playurl=http://123.145.79.16:4000/udp/225.0.4.193:7980#http://zb.688768.xyz/zubo/z.php?member=kikihdcn72&playurl=http://125.87.88.169:8880/udp/235.254.198.188:7980
河北卫视,rtsp://10.11.43.21/PLTV/88888912/224/3221226464/10000100000000060000000000871729_0.smil
河北都市,http://iblink.tpddns.cn:8000/udp/239.253.92.172:6002#http://zb.688768.xyz/zubo/z.php?member=kikihdcn72&playurl=http://121.16.182.86:4000/udp/239.253.92.172:6002
河北影视,http://iblink.tpddns.cn:8000/udp/239.253.92.173:6003#http://zb.688768.xyz/zubo/z.php?member=kikihdcn72&playurl=http://121.16.182.86:4000/udp/239.253.92.173:6003
河北经济,http://iblink.tpddns.cn:8000/udp/239.253.92.171:6001#http://zb.688768.xyz/zubo/z.php?member=kikihdcn72&playurl=http://121.16.182.86:4000/udp/239.253.92.171:6001
海南卫视,rtsp://10.11.43.21/PLTV/88888912/224/3221226622/383026202.smil
